Day of Week Ending,Lineage Bin,Modeltype,Usa Or Hhsregion,Variant,95CI,Share
"April 30, 2022",VOC,smoothed,USA,BA.1.1,1.1-1.7%,0.013862139
"May 7, 2022",VOC,smoothed,USA,BA.1.1,0.5-0.8%,0.006133542
"April 30, 2022",VOC,smoothed,USA,B.1.1.529,0.1-0.3%,0.001754692
"May 7, 2022",VOC,smoothed,USA,B.1.1.529,0.1-0.4%,0.001579943
"April 30, 2022",VOC,smoothed,USA,BA.2,59.8-70.5%,0.653031230
"May 7, 2022",VOC,smoothed,USA,BA.2,49.3-63.3%,0.564366877
"April 30, 2022",VOC,smoothed,USA,BA.2.12.1,27.7-38.7%,0.329806060
"May 7, 2022",VOC,smoothed,USA,BA.2.12.1,35.6-49.9%,0.426279217
"April 30, 2022",VOC,smoothed,1,B.1.1.529,0.9-1.4%,0.010911386
"May 7, 2022",VOC,smoothed,1,B.1.1.529,0.4-0.6%,0.004822324
"April 30, 2022",VOC,smoothed,1,BA.2,62.8-73.4%,0.683264315
"May 7, 2022",VOC,smoothed,1,BA.2,51.7-66.3%,0.592214286
"April 30, 2022",VOC,smoothed,1,BA.2.12.1,25.3-36.1%,0.304746598
"May 7, 2022",VOC,smoothed,1,BA.2.12.1,33.0-47.7%,0.401744694
"April 30, 2022",VOC,smoothed,2,B.1.1.529,0.4-0.6%,0.005023465
"May 7, 2022",VOC,smoothed,2,B.1.1.529,0.1-0.3%,0.001985497
"April 30, 2022",VOC,smoothed,2,BA.2,35.3-51.4%,0.431862205
"May 7, 2022",VOC,smoothed,2,BA.2,26.5-41.2%,0.334560871
"April 30, 2022",VOC,smoothed,2,BA.2.12.1,48.1-64.2%,0.562804759
"May 7, 2022",VOC,smoothed,2,BA.2.12.1,58.5-73.3%,0.663145542
"April 30, 2022",VOC,smoothed,3,B.1.1.529,1.1-1.9%,0.014175982
"May 7, 2022",VOC,smoothed,3,B.1.1.529,0.4-0.8%,0.006087098
"April 30, 2022",VOC,smoothed,3,BA.2,54.2-67.4%,0.609683037
"May 7, 2022",VOC,smoothed,3,BA.2,43.0-59.5%,0.512805283
"April 30, 2022",VOC,smoothed,3,BA.2.12.1,31.1-44.5%,0.375727445
"May 7, 2022",VOC,smoothed,3,BA.2.12.1,39.7-56.5%,0.480664909
"April 30, 2022",VOC,smoothed,4,B.1.1.529,1.4-2.2%,0.017644150
"May 7, 2022",VOC,smoothed,4,B.1.1.529,0.6-1.0%,0.007678912
"April 30, 2022",VOC,smoothed,4,BA.2,54.7-70.8%,0.631088972
"May 7, 2022",VOC,smoothed,4,BA.2,43.8-63.4%,0.537488461
"April 30, 2022",VOC,smoothed,4,BA.2.12.1,27.4-43.5%,0.350254595
"May 7, 2022",VOC,smoothed,4,BA.2.12.1,35.7-55.4%,0.453715414
"April 30, 2022",VOC,smoothed,5,B.1.1.529,1.5-2.3%,0.018416198
"May 7, 2022",VOC,smoothed,5,B.1.1.529,0.7-1.1%,0.008325603
"April 30, 2022",VOC,smoothed,5,BA.2,66.3-77.1%,0.720035136
"May 7, 2022",VOC,smoothed,5,BA.2,56.1-71.1%,0.639052391
"April 30, 2022",VOC,smoothed,5,BA.2.12.1,20.7-31.9%,0.259294808
"May 7, 2022",VOC,smoothed,5,BA.2.12.1,27.8-43.0%,0.350023925
"April 30, 2022",VOC,smoothed,6,B.1.1.529,1.4-2.8%,0.019770900
"May 7, 2022",VOC,smoothed,6,B.1.1.529,0.7-1.3%,0.009338344
"April 30, 2022",VOC,smoothed,6,BA.2,76.5-86.2%,0.817878366
"May 7, 2022",VOC,smoothed,6,BA.2,68.5-82.5%,0.761564553
"April 30, 2022",VOC,smoothed,6,BA.2.12.1,11.5-21.3%,0.158172533
"May 7, 2022",VOC,smoothed,6,BA.2.12.1,16.0-30.4%,0.224011451
"April 30, 2022",VOC,smoothed,7,B.1.1.529,2.1-3.4%,0.026669480
"May 7, 2022",VOC,smoothed,7,B.1.1.529,0.9-1.5%,0.011546357
"April 30, 2022",VOC,smoothed,7,BA.2,48.9-71.5%,0.607477546
"May 7, 2022",VOC,smoothed,7,BA.2,38.8-64.3%,0.516244113
"April 30, 2022",VOC,smoothed,7,BA.2.12.1,25.9-47.9%,0.362195551
"May 7, 2022",VOC,smoothed,7,BA.2.12.1,34.4-59.7%,0.468154430
"April 30, 2022",VOC,smoothed,8,B.1.1.529,2.3-3.4%,0.027939323
"May 7, 2022",VOC,smoothed,8,B.1.1.529,1.0-1.6%,0.012689707
"April 30, 2022",VOC,smoothed,8,BA.2,67.7-73.0%,0.704128861
"May 7, 2022",VOC,smoothed,8,BA.2,57.8-67.1%,0.625492275
"April 30, 2022",VOC,smoothed,8,BA.2.12.1,24.0-29.6%,0.267007142
"May 7, 2022",VOC,smoothed,8,BA.2.12.1,31.5-41.0%,0.360756248
"April 30, 2022",VOC,smoothed,9,B.1.1.529,1.1-1.7%,0.014006224
"May 7, 2022",VOC,smoothed,9,B.1.1.529,0.5-0.8%,0.006596528
"April 30, 2022",VOC,smoothed,9,BA.2,77.8-83.8%,0.809671879
"May 7, 2022",VOC,smoothed,9,BA.2,69.5-79.3%,0.746891499
"April 30, 2022",VOC,smoothed,9,BA.2.12.1,14.2-20.6%,0.171894878
"May 7, 2022",VOC,smoothed,9,BA.2.12.1,19.4-29.6%,0.241175145
"April 30, 2022",VOC,smoothed,10,B.1.1.529,1.2-2.4%,0.017025603
"May 7, 2022",VOC,smoothed,10,B.1.1.529,0.6-1.2%,0.008352081
"April 30, 2022",VOC,smoothed,10,BA.2,85.4-91.1%,0.885550737
"May 7, 2022",VOC,smoothed,10,BA.2,80.1-88.9%,0.849857926
"April 30, 2022",VOC,smoothed,10,BA.2.12.1,7.0-12.8%,0.095396996
"May 7, 2022",VOC,smoothed,10,BA.2.12.1,9.9-19.1%,0.139247924
"May 8, 2021",VOC,weighted,USA,BA.1.1,NA,0
"May 15, 2021",VOC,weighted,USA,BA.1.1,0.0-0.1%,0.000247655
"May 22, 2021",VOC,weighted,USA,BA.1.1,0.0-0.1%,0.000257125
"May 29, 2021",VOC,weighted,USA,BA.1.1,0.0-0.3%,0.000461876
"June 5, 2021",VOC,weighted,USA,BA.1.1,0.0-0.2%,0.000294829
"June 12, 2021",VOC,weighted,USA,BA.1.1,0.0-0.2%,0.000307514
"June 19, 2021",VOC,weighted,USA,BA.1.1,0.0-0.6%,0.001068764
"June 26, 2021",VOC,weighted,USA,BA.1.1,0.0-0.1%,0.000228787
"July 3, 2021",VOC,weighted,USA,BA.1.1,NA,0
"July 10, 2021",VOC,weighted,USA,BA.1.1,NA,0
"July 17, 2021",VOC,weighted,USA,BA.1.1,NA,0
"July 24, 2021",VOC,weighted,USA,BA.1.1,NA,0
"July 31, 2021",VOC,weighted,USA,BA.1.1,NA,0
"August 7, 2021",VOC,weighted,USA,BA.1.1,NA,0
"August 14, 2021",VOC,weighted,USA,BA.1.1,NA,0
"August 21, 2021",VOC,weighted,USA,BA.1.1,NA,0
"August 28, 2021",VOC,weighted,USA,BA.1.1,NA,0
"September 4, 2021",VOC,weighted,USA,BA.1.1,NA,0
"September 11, 2021",VOC,weighted,USA,BA.1.1,NA,0
"September 18, 2021",VOC,weighted,USA,BA.1.1,NA,0
"September 25, 2021",VOC,weighted,USA,BA.1.1,NA,0
"October 2, 2021",VOC,weighted,USA,BA.1.1,0.0-0.2%,0.000491111
"October 9, 2021",VOC,weighted,USA,BA.1.1,0.0-0.0%,2.468158891e-05
"October 16, 2021",VOC,weighted,USA,BA.1.1,NA,0
"October 23, 2021",VOC,weighted,USA,BA.1.1,0.0-0.0%,1.451697153e-05
"October 30, 2021",VOC,weighted,USA,BA.1.1,0.0-0.0%,9.479651453e-06
"November 6, 2021",VOC,weighted,USA,BA.1.1,NA,0
"November 13, 2021",VOC,weighted,USA,BA.1.1,NA,0
"November 20, 2021",VOC,weighted,USA,BA.1.1,0.0-0.0%,5.654782217e-05
"November 27, 2021",VOC,weighted,USA,BA.1.1,0.0-0.0%,0.000132479
"December 4, 2021",VOC,weighted,USA,BA.1.1,0.1-0.3%,0.001531482
"December 11, 2021",VOC,weighted,USA,BA.1.1,1.5-3.6%,0.023662964
"December 18, 2021",VOC,weighted,USA,BA.1.1,11.7-18.9%,0.150288686
"December 25, 2021",VOC,weighted,USA,BA.1.1,29.5-38.6%,0.339293391
"January 1, 2022",VOC,weighted,USA,BA.1.1,42.0-49.5%,0.457283378
"January 8, 2022",VOC,weighted,USA,BA.1.1,51.1-56.9%,0.540151656
"January 15, 2022",VOC,weighted,USA,BA.1.1,60.1-64.8%,0.624794900
"January 22, 2022",VOC,weighted,USA,BA.1.1,63.9-69.5%,0.667694569
"January 29, 2022",VOC,weighted,USA,BA.1.1,67.6-73.7%,0.707333326
"February 5, 2022",VOC,weighted,USA,BA.1.1,70.6-76.5%,0.736416161
"February 12, 2022",VOC,weighted,USA,BA.1.1,74.4-78.1%,0.762516975
"February 19, 2022",VOC,weighted,USA,BA.1.1,75.0-78.8%,0.769471586
"February 26, 2022",VOC,weighted,USA,BA.1.1,74.1-77.2%,0.756498218
"March 5, 2022",VOC,weighted,USA,BA.1.1,69.9-73.6%,0.717672825
"March 12, 2022",VOC,weighted,USA,BA.1.1,59.6-64.5%,0.620268106
"March 19, 2022",VOC,weighted,USA,BA.1.1,46.4-52.4%,0.494258136
"March 26, 2022",VOC,weighted,USA,BA.1.1,29.5-35.4%,0.324236065
"April 2, 2022",VOC,weighted,USA,BA.1.1,16.8-20.7%,0.186637476
"April 9, 2022",VOC,weighted,USA,BA.1.1,8.9-11.0%,0.098706968
"April 16, 2022",VOC,weighted,USA,BA.1.1,3.8-5.4%,0.045584589
"April 23, 2022",VOC,weighted,USA,BA.1.1,2.3-3.9%,0.030075487
"May 8, 2021",VOC,weighted,USA,B.1.1.529,NA,0
"May 15, 2021",VOC,weighted,USA,B.1.1.529,NA,0
"May 22, 2021",VOC,weighted,USA,B.1.1.529,0.0-0.1%,0.000257125
"May 29, 2021",VOC,weighted,USA,B.1.1.529,0.0-0.1%,0.000230938
"June 5, 2021",VOC,weighted,USA,B.1.1.529,0.0-0.2%,0.000294829
"June 12, 2021",VOC,weighted,USA,B.1.1.529,NA,0
"June 19, 2021",VOC,weighted,USA,B.1.1.529,NA,0
"June 26, 2021",VOC,weighted,USA,B.1.1.529,0.0-0.1%,0.000228787
"July 3, 2021",VOC,weighted,USA,B.1.1.529,NA,0
"July 10, 2021",VOC,weighted,USA,B.1.1.529,NA,0
"July 17, 2021",VOC,weighted,USA,B.1.1.529,NA,0
"July 24, 2021",VOC,weighted,USA,B.1.1.529,NA,0
"July 31, 2021",VOC,weighted,USA,B.1.1.529,NA,0
"August 7, 2021",VOC,weighted,USA,B.1.1.529,NA,0
"August 14, 2021",VOC,weighted,USA,B.1.1.529,NA,0
"August 21, 2021",VOC,weighted,USA,B.1.1.529,NA,0
"August 28, 2021",VOC,weighted,USA,B.1.1.529,NA,0
"September 4, 2021",VOC,weighted,USA,B.1.1.529,NA,0
"September 11, 2021",VOC,weighted,USA,B.1.1.529,0.0-0.0%,7.967836609e-06
"September 18, 2021",VOC,weighted,USA,B.1.1.529,NA,0
"September 25, 2021",VOC,weighted,USA,B.1.1.529,NA,0
"October 2, 2021",VOC,weighted,USA,B.1.1.529,0.0-0.1%,0.000237721
