"USA_or_HHSRegion","WEEK_END","Variant","Share","Share_lo","Share_hi","count","denom_count","DF","eff.size","CI_width","nchs_flag","nchs_flag_wodf"
"USA",2021-01-09,"A.23.1",0,NA,NA,0,1279,64,NA,NA,1,1
"USA",2021-01-09,"A.27",0,NA,NA,0,1279,64,NA,NA,1,1
"USA",2021-01-09,"A.28",0,NA,NA,0,1279,64,NA,NA,1,1
"USA",2021-01-09,"B.1.1.318",0,NA,NA,0,1279,64,NA,NA,1,1
"USA",2021-01-09,"B.1.1.519",0.00673750004322772,0.00260103331863074,0.0141893286041432,8,1279,64,965.448139358067,0.0115882952855125,1,1
"USA",2021-01-09,"B.1.1.529",0.000878669997715605,8.16413081217762e-06,0.00593314222671654,1,1279,64,865.882188042718,0.00592497809590436,1,1
"USA",2021-01-09,"B.1.1.7",0.0418702199187366,0.00663581865835611,0.130784640076407,48,1279,64,57.1665274920979,0.124148821418051,1,1
"USA",2021-01-09,"B.1.214.2",0,NA,NA,0,1279,64,NA,NA,1,1
"USA",2021-01-09,"B.1.351",0,NA,NA,0,1279,64,NA,NA,1,1
"USA",2021-01-09,"B.1.427",0.101142960671265,0.030863292648361,0.229759254365198,117,1279,64,44.0365628428102,0.198895961716837,1,1
"USA",2021-01-09,"B.1.525",0,NA,NA,0,1279,64,NA,NA,1,1
"USA",2021-01-09,"B.1.526",0,NA,NA,0,1279,64,NA,NA,1,1
"USA",2021-01-09,"B.1.617.1",0,NA,NA,0,1279,64,NA,NA,1,1
"USA",2021-01-09,"B.1.617.2",0.00263600999314682,5.08450651544707e-05,0.0154534453761264,3,1279,64,349.362150429867,0.0154026003109719,1,1
"USA",2021-01-09,"B.1.617.3",0,NA,NA,0,1279,64,NA,NA,1,1
"USA",2021-01-09,"B.1.620",0,NA,NA,0,1279,64,NA,NA,1,1
"USA",2021-01-09,"B.1.621",0,NA,NA,0,1279,64,NA,NA,1,1
"USA",2021-01-09,"B.1.640",0,NA,NA,0,1279,64,NA,NA,1,1
"USA",2021-01-09,"C.16",0,NA,NA,0,1279,64,NA,NA,1,1
"USA",2021-01-09,"C.36",0,NA,NA,0,1279,64,NA,NA,1,1
"USA",2021-01-09,"C.37",0,NA,NA,0,1279,64,NA,NA,1,1
"USA",2021-01-09,"Other",0.84523186686449,0.715533840726141,0.931668321247048,1099,1279,64,50.3183789354502,0.216134480520907,0,0
"USA",2021-01-09,"P.1",0,NA,NA,0,1279,64,NA,NA,1,1
"USA",2021-01-09,"P.2",0.00150277251141822,0.000112501001095478,0.00633716415819804,3,1279,64,1017.60645008972,0.00622466315710256,1,1
"USA",2021-01-09,"P.3",0,NA,NA,0,1279,64,NA,NA,1,1
"USA",2021-01-16,"A.23.1",0,NA,NA,0,1200,75,NA,NA,1,1
"USA",2021-01-16,"A.27",0,NA,NA,0,1200,75,NA,NA,1,1
"USA",2021-01-16,"A.28",0,NA,NA,0,1200,75,NA,NA,1,1
"USA",2021-01-16,"B.1.1.318",0,NA,NA,0,1200,75,NA,NA,1,1
"USA",2021-01-16,"B.1.1.519",0.00941385521729712,0.00330347520097642,0.0209338537017939,12,1200,75,592.498023235518,0.0176303785008175,1,1
"USA",2021-01-16,"B.1.1.529",0,NA,NA,0,1200,75,NA,NA,1,1
"USA",2021-01-16,"B.1.1.7",0.0591723826842317,0.01141108528156,0.16867336142127,63,1200,75,47.1912673315849,0.15726227613971,1,1
"USA",2021-01-16,"B.1.214.2",0,NA,NA,0,1200,75,NA,NA,1,1
"USA",2021-01-16,"B.1.351",0,NA,NA,0,1200,75,NA,NA,1,1
"USA",2021-01-16,"B.1.427",0.122474079477084,0.0713495131285951,0.191813726240409,131,1200,75,128.886183371862,0.120464213111814,0,0
"USA",2021-01-16,"B.1.525",0.00191362917270135,0.000162944092321804,0.00775393418681458,2,1200,75,852.941898692747,0.00759099009449278,1,1
"USA",2021-01-16,"B.1.526",0.00339658346449119,0.000698689931706479,0.00990839429245505,4,1200,75,880.568403960348,0.00920970436074857,1,1
"USA",2021-01-16,"B.1.617.1",0,NA,NA,0,1200,75,NA,NA,1,1
"USA",2021-01-16,"B.1.617.2",0,NA,NA,0,1200,75,NA,NA,1,1
"USA",2021-01-16,"B.1.617.3",0,NA,NA,0,1200,75,NA,NA,1,1
"USA",2021-01-16,"B.1.620",0,NA,NA,0,1200,75,NA,NA,1,1
